Type,BodyPart,Equipment,Level,Title
4,16,4,0,2027
4,14,4,2,2584
4,13,2,2,1251
4,13,8,2,899
4,5,4,2,2833
4,13,2,2,1417
4,3,1,2,771
4,16,3,2,13
4,5,2,2,1325
4,3,4,0,2141
4,10,1,2,2099
4,13,2,2,1429
4,13,8,2,901
4,0,2,2,1484
4,0,4,2,1958
4,14,4,2,1657
3,8,1,0,999
4,13,6,2,782
5,4,12,0,2586
5,8,12,0,2846
4,11,1,0,339
4,14,3,2,2292
4,5,4,2,605
4,0,3,2,2599
4,14,4,2,935
4,3,4,2,704
4,0,2,2,2142
4,0,0,2,855
4,5,1,2,2682
4,3,3,0,505
4,3,4,2,571
4,4,2,2,2562
4,0,2,2,1231
4,0,9,2,2508
4,0,3,2,2597
4,13,4,2,1471
4,0,2,2,1350
4,0,2,2,1541
4,13,8,0,982
4,5,4,2,1443
3,8,1,0,1189
0,13,2,2,1704
4,5,4,2,2017
3,16,1,0,410
4,9,4,2,1396
4,12,11,0,1846
6,14,11,0,544
5,10,12,0,2585
4,11,0,2,2081
4,5,3,2,1663
4,13,4,2,2393
0,13,11,0,639
4,13,2,2,1222
4,14,11,2,2124
4,13,2,2,1040
4,0,2,2,2109
4,0,2,2,1579
4,13,9,2,122
6,13,11,0,524
4,3,3,2,2289
4,13,2,2,1521
4,13,11,2,452
4,9,0,2,2775
4,6,11,2,2122
4,9,9,2,2422
4,13,2,2,971
4,0,4,2,912
5,8,12,0,1868
4,16,3,2,2383
4,9,3,2,496
4,3,4,2,207
4,14,4,2,1658
4,11,8,2,867
4,0,4,2,658
4,13,2,2,1313
4,7,6,2,787
4,11,8,2,2411
4,14,8,2,1088
4,13,9,2,247
4,11,11,2,1857
4,7,2,2,2858
4,0,11,2,2666
4,16,4,2,748
4,5,2,0,2044
4,0,2,2,1514
4,13,9,2,2446
4,5,2,2,1348
4,6,11,0,2582
4,8,2,2,1024
4,0,2,2,1969
4,3,4,2,1644
4,0,1,2,74
4,5,2,2,923
4,9,4,2,2729
4,13,2,2,1943
4,0,2,2,2652
4,14,4,2,206
4,0,2,2,568
4,8,8,0,634
1,13,1,0,2529
